id,id_genero,titulo,resumo,lancamento,idioma_original,poster
3782,[18],Ikiru,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",1952-10-09,ja,/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg
12493,"[80, 18, 9648, 53]",High and Low,A shoe company executive who has mortgaged everything he has becomes a victim of extortion when his chauffeur's son is kidnapped and is conflicted over whether he should pay the ransom.,1963-03-01,ja,/tgNjemQPG96uIezpiUiXFcer5ga.jpg
274,"[80, 18, 53]",The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",1991-02-14,en,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg
914,"[35, 10752]",The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,1940-10-15,en,/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg
851644,"[10749, 18]",20th Century Girl,"Yeon-du asks her best friend Bora to collect all the information she can about Baek Hyun-jin while she is away in the U.S. for heart surgery. Bora decides to get close to Baek's best friend, Pung Woon-ho first. However, Bora's clumsy plan unfolds in an unexpected direction. In 1999, a year before the new century, Bora, who turns seventeen, falls into the fever of first love.",2022-10-06,ko,/od22ftNnyag0TTxcnJhlsu3aLoU.jpg
128,"[12, 14, 16]",Princess Mononoke,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",1997-07-12,ja,/cMYCDADoLKLbB83g4WnJegaZimC.jpg
901,"[35, 10749, 18]",City Lights,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",1931-02-01,en,/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg
533514,"[16, 14, 10749, 18]",Violet Evergarden: The Movie,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",2020-09-18,ja,/fwSonK8WrAEqWY7sqjvGRCgzIij.jpg
101,"[80, 18, 28]",Léon: The Professional,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",1994-09-14,en,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg
644479,"[18, 35]",Dedicated to my ex,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",2019-11-01,es,/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg
207,[18],Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",1989-06-02,en,/ai40gM7SUaGA6fthvsd87o8IQq4.jpg
